[en] n=549 pos-rate 0.3060 dim=7168 ck=/data/jehc223/RGCL/scripts/analysis/vsw_ckpt/en
    [en] fold 2 draw 163 6.0s
    [en] fold 2 draw 164 6.0s
[en] n=549 pos-rate 0.3060 dim=7168 ck=/data/jehc223/RGCL/scripts/analysis/vsw_ckpt/en
    [en] fold 2 setup 2.1s (arena=False draws=35)
    [en] fold 2 draw 165 7.1s
    [en] fold 2 draw 166 6.1s
    [en] fold 2 draw 167 6.1s
    [en] fold 2 draw 168 6.1s
    [en] fold 2 draw 169 6.1s
    [en] fold 2 draw 170 6.0s
    [en] fold 2 draw 171 6.1s
    [en] fold 2 draw 172 6.2s
    [en] fold 2 draw 173 6.2s
    [en] fold 2 draw 174 6.0s
    [en] fold 2 draw 175 6.0s
[en] n=549 pos-rate 0.3060 dim=7168 ck=/data/jehc223/RGCL/scripts/analysis/vsw_ckpt/en
    [en] fold 2 setup 2.2s (arena=False draws=24)
    [en] fold 2 draw 176 7.8s
    [en] fold 2 draw 177 6.7s
    [en] fold 2 draw 178 6.7s
    [en] fold 2 draw 179 6.4s
    [en] fold 2 draw 180 6.2s
    [en] fold 2 draw 181 6.6s
    [en] fold 2 draw 182 6.3s
    [en] fold 2 draw 183 6.1s
    [en] fold 2 draw 184 6.1s
    [en] fold 2 draw 185 6.2s
    [en] fold 2 draw 186 6.0s
    [en] fold 2 draw 187 6.0s
